Job_Title,Industry/Fields,Company_Size,Location,Sub-Category Fields, Salary_USD ,Job_Growth_Projection
Software Engineer,Energy,Small,Dubai,Project Management," $87,667.40 ",Stable
Software Engineer,Education,Medium,Dubai,Data Analysis," $75,538.25 ",Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Python," $81,978.82 ",Decline
Product Manager,Retail,Large,Berlin,Project Management," $1,27,413.27 ",Growth
HR Manager,Retail,Medium,San Francisco,Machine Learning," $92,292.43 ",Growth
Operations Manager,Education,Large,San Francisco,Data Analysis," $72,482.01 ",Decline
UX Designer,Education,Small,Singapore,Project Management," $1,17,490.67 ",Decline
Product Manager,Technology,Large,Tokyo,JavaScript," $1,09,105.51 ",Stable
UX Designer,Energy,Small,Berlin,Marketing," $1,10,153.07 ",Growth
UX Designer,Education,Large,Paris,Project Management," $49,877.40 ",Stable
Product Manager,Finance,Medium,New York,UX/UI Design," $1,28,973.42 ",Growth
Data Scientist,Entertainment,Large,Toronto,Cybersecurity," $78,829.71 ",Growth
Marketing Specialist,Healthcare,Large,London,JavaScript," $1,05,559.10 ",Stable
UX Designer,Energy,Small,Sydney,Python," $1,40,476.00 ",Growth
Product Manager,Telecommunications,Medium,Tokyo,Python," $1,33,106.65 ",Growth
Product Manager,Finance,Large,Tokyo,Python," $70,448.76 ",Growth
Sales Manager,Manufacturing,Medium,Tokyo,Python," $61,109.65 ",Decline
Data Scientist,Education,Large,New York,Cybersecurity," $1,18,606.93 ",Stable
AI Researcher,Telecommunications,Large,New York,Project Management," $92,841.12 ",Decline
Sales Manager,Education,Medium,London,Sales," $79,982.37 ",Stable
Sales Manager,Retail,Large,Paris,Project Management," $1,02,424.37 ",Stable
Cybersecurity Analyst,Finance,Medium,Berlin,Machine Learning," $86,742.41 ",Growth
Marketing Specialist,Retail,Large,Tokyo,Marketing," $1,04,026.48 ",Stable
Product Manager,Technology,Small,San Francisco,Data Analysis," $91,339.64 ",Decline
Marketing Specialist,Retail,Medium,Dubai,Sales," $1,04,447.76 ",Decline
HR Manager,Technology,Large,San Francisco,Sales," $72,109.35 ",Decline
Cybersecurity Analyst,Technology,Large,Singapore,Project Management," $1,18,489.24 ",Stable
AI Researcher,Telecommunications,Small,San Francisco,Sales," $1,03,952.47 ",Decline
Marketing Specialist,Education,Medium,Singapore,Communication," $1,02,925.95 ",Stable
Software Engineer,Manufacturing,Large,Toronto,Communication," $67,646.60 ",Decline
UX Designer,Retail,Small,Dubai,Machine Learning," $1,23,992.65 ",Decline
HR Manager,Finance,Large,San Francisco,Data Analysis," $89,725.68 ",Stable
Data Scientist,Technology,Medium,Toronto,UX/UI Design," $1,04,560.98 ",Decline
AI Researcher,Education,Large,Sydney,Cybersecurity," $83,543.51 ",Growth
HR Manager,Healthcare,Large,Berlin,Project Management," $95,217.78 ",Stable
UX Designer,Energy,Large,Toronto,Cybersecurity," $95,942.55 ",Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,UX/UI Design," $33,601.38 ",Stable
UX Designer,Manufacturing,Small,San Francisco,Project Management," $1,01,648.96 ",Growth
Sales Manager,Transportation,Small,Paris,Project Management," $1,29,306.83 ",Stable
UX Designer,Telecommunications,Medium,Toronto,Data Analysis," $1,00,795.61 ",Decline
Sales Manager,Healthcare,Small,Dubai,Cybersecurity," $70,845.84 ",Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Communication," $1,02,999.23 ",Decline
Operations Manager,Healthcare,Medium,Tokyo,Python," $1,11,189.61 ",Stable
Sales Manager,Retail,Small,New York,Cybersecurity," $1,00,249.33 ",Decline
Data Scientist,Technology,Small,Toronto,Marketing," $88,517.46 ",Stable
UX Designer,Manufacturing,Medium,Dubai,Marketing," $85,157.02 ",Decline
UX Designer,Entertainment,Medium,Sydney,Project Management," $85,073.80 ",Growth
Data Scientist,Technology,Medium,Tokyo,Python," $1,03,955.54 ",Growth
Software Engineer,Entertainment,Large,Sydney,JavaScript," $61,857.52 ",Growth
Product Manager,Energy,Large,San Francisco,UX/UI Design," $82,562.54 ",Growth
Operations Manager,Education,Medium,New York,Machine Learning," $1,21,912.20 ",Stable
AI Researcher,Transportation,Medium,Toronto,Python," $1,22,683.91 ",Decline
Sales Manager,Finance,Medium,Toronto,Machine Learning," $60,437.06 ",Growth
Data Scientist,Technology,Large,Paris,Cybersecurity," $67,371.73 ",Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,Cybersecurity," $84,587.59 ",Growth
Sales Manager,Healthcare,Small,San Francisco,Machine Learning," $1,07,851.79 ",Growth
Product Manager,Manufacturing,Small,San Francisco,UX/UI Design," $53,450.51 ",Stable
Cybersecurity Analyst,Energy,Medium,New York,Python," $88,903.83 ",Stable
HR Manager,Entertainment,Large,Paris,JavaScript," $80,516.42 ",Decline
UX Designer,Healthcare,Large,Dubai,Project Management," $1,16,519.29 ",Decline
HR Manager,Finance,Large,Dubai,Data Analysis," $56,461.83 ",Growth
Sales Manager,Finance,Medium,New York,Cybersecurity," $91,850.81 ",Growth
Product Manager,Technology,Small,Dubai,Marketing," $82,127.81 ",Decline
Operations Manager,Energy,Medium,Singapore,UX/UI Design," $1,19,395.98 ",Decline
Sales Manager,Education,Small,Berlin,Data Analysis," $1,01,953.05 ",Stable
Data Scientist,Energy,Small,New York,JavaScript," $78,283.69 ",Decline
Marketing Specialist,Entertainment,Medium,New York,Sales," $1,07,067.73 ",Decline
Sales Manager,Manufacturing,Small,London,Project Management," $82,223.42 ",Growth
UX Designer,Finance,Small,Tokyo,Cybersecurity," $1,09,986.59 ",Decline
UX Designer,Manufacturing,Large,Tokyo,Project Management," $85,258.46 ",Growth
Sales Manager,Manufacturing,Small,Singapore,Data Analysis," $1,11,093.33 ",Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Project Management," $98,721.64 ",Stable
Marketing Specialist,Finance,Medium,San Francisco,Sales," $1,55,209.82 ",Decline
Data Scientist,Telecommunications,Small,San Francisco,Data Analysis," $88,942.08 ",Decline
Sales Manager,Retail,Large,Sydney,Cybersecurity," $97,657.25 ",Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Python," $80,411.51 ",Growth
UX Designer,Telecommunications,Small,New York,Marketing," $90,053.71 ",Stable
UX Designer,Entertainment,Small,Singapore,Data Analysis," $35,963.30 ",Decline
Product Manager,Healthcare,Medium,Singapore,Communication," $99,311.68 ",Growth
Sales Manager,Energy,Small,Singapore,Sales," $1,16,857.48 ",Stable
Marketing Specialist,Energy,Large,Tokyo,Data Analysis," $97,932.60 ",Growth
Software Engineer,Transportation,Small,Singapore,Data Analysis," $63,722.77 ",Growth
Marketing Specialist,Energy,Medium,Berlin,Communication," $73,964.26 ",Stable
UX Designer,Finance,Medium,San Francisco,Cybersecurity," $41,396.16 ",Decline
UX Designer,Education,Medium,Sydney,Data Analysis," $1,09,578.48 ",Growth
HR Manager,Technology,Medium,Berlin,Marketing," $69,869.73 ",Growth
UX Designer,Transportation,Medium,Sydney,Project Management," $89,425.83 ",Decline
Data Scientist,Technology,Small,London,Cybersecurity," $86,925.25 ",Decline
AI Researcher,Entertainment,Small,Sydney,Marketing," $1,19,754.54 ",Stable
Sales Manager,Technology,Small,San Francisco,Cybersecurity," $91,705.63 ",Stable
Marketing Specialist,Technology,Small,San Francisco,Marketing," $1,06,177.86 ",Stable
AI Researcher,Transportation,Medium,Singapore,Sales," $1,00,929.28 ",Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,Marketing," $1,17,188.23 ",Growth
Software Engineer,Manufacturing,Small,London,Machine Learning," $85,217.53 ",Growth
Data Scientist,Energy,Large,New York,Marketing," $1,27,392.31 ",Stable
Marketing Specialist,Energy,Small,Dubai,Python," $50,286.76 ",Decline
AI Researcher,Finance,Small,Sydney,Python," $1,07,149.47 ",Growth
Software Engineer,Transportation,Large,Toronto,UX/UI Design," $72,667.61 ",Stable
HR Manager,Finance,Medium,Singapore,Machine Learning," $80,145.01 ",Growth
Data Scientist,Education,Small,Tokyo,Machine Learning," $1,01,388.29 ",Growth
Data Scientist,Education,Small,New York,Project Management," $1,01,228.04 ",Decline
HR Manager,Finance,Small,Paris,Machine Learning," $1,02,128.56 ",Decline
Sales Manager,Transportation,Large,Toronto,Project Management," $62,276.84 ",Growth
HR Manager,Finance,Medium,Tokyo,UX/UI Design," $1,18,980.60 ",Stable
Data Scientist,Energy,Large,London,UX/UI Design," $71,987.06 ",Decline
Data Scientist,Telecommunications,Large,Singapore,Sales," $74,654.26 ",Growth
AI Researcher,Retail,Medium,New York,Python," $1,02,757.93 ",Decline
UX Designer,Technology,Large,New York,Marketing," $84,265.58 ",Decline
Software Engineer,Retail,Medium,New York,Marketing," $96,165.22 ",Decline
HR Manager,Transportation,Small,London,Communication," $46,867.99 ",Growth
Software Engineer,Retail,Medium,Sydney,Communication," $95,686.49 ",Stable
HR Manager,Education,Small,Paris,JavaScript," $94,356.64 ",Stable
Cybersecurity Analyst,Entertainment,Large,London,Cybersecurity," $79,802.83 ",Stable
Data Scientist,Technology,Large,Dubai,Sales," $48,518.48 ",Decline
UX Designer,Manufacturing,Small,Paris,JavaScript," $85,743.83 ",Growth
AI Researcher,Transportation,Large,San Francisco,JavaScript," $89,252.52 ",Decline
UX Designer,Technology,Medium,Singapore,Data Analysis," $82,655.42 ",Stable
UX Designer,Retail,Small,London,Data Analysis," $53,276.51 ",Stable
UX Designer,Education,Large,Tokyo,JavaScript," $1,21,894.68 ",Growth
Software Engineer,Healthcare,Small,Paris,Machine Learning," $77,222.77 ",Decline
HR Manager,Telecommunications,Medium,Dubai,Cybersecurity," $85,555.91 ",Stable
Operations Manager,Manufacturing,Medium,San Francisco,Sales," $41,810.51 ",Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,JavaScript," $1,21,897.11 ",Decline
Marketing Specialist,Technology,Medium,Tokyo,Marketing," $80,669.00 ",Decline
UX Designer,Education,Small,Paris,Cybersecurity," $91,969.26 ",Stable
Sales Manager,Education,Medium,Singapore,Data Analysis," $1,12,414.75 ",Stable
Software Engineer,Retail,Small,Tokyo,Marketing," $76,473.92 ",Decline
AI Researcher,Energy,Small,San Francisco,Data Analysis," $1,09,264.90 ",Decline
Marketing Specialist,Retail,Medium,Tokyo,Data Analysis," $48,773.49 ",Stable
Operations Manager,Energy,Large,Berlin,Cybersecurity," $1,01,019.73 ",Decline
Sales Manager,Energy,Medium,Toronto,Data Analysis," $1,21,444.84 ",Stable
Operations Manager,Manufacturing,Small,Sydney,UX/UI Design," $78,391.66 ",Decline
Marketing Specialist,Retail,Small,San Francisco,Python," $1,12,377.63 ",Stable
UX Designer,Healthcare,Medium,Tokyo,UX/UI Design," $1,26,678.45 ",Growth
Sales Manager,Finance,Large,Toronto,Python," $84,903.16 ",Stable
Operations Manager,Finance,Large,Toronto,Communication," $83,249.43 ",Stable
AI Researcher,Retail,Small,Tokyo,Communication," $72,034.13 ",Growth
HR Manager,Retail,Small,Singapore,Data Analysis," $79,805.40 ",Decline
Data Scientist,Telecommunications,Large,Berlin,Sales," $73,692.80 ",Growth
HR Manager,Manufacturing,Medium,London,Sales," $72,017.78 ",Stable
Marketing Specialist,Retail,Small,Berlin,Python," $1,13,976.71 ",Decline
Software Engineer,Telecommunications,Small,Tokyo,Marketing," $74,201.48 ",Growth
Data Scientist,Energy,Large,Sydney,Cybersecurity," $95,170.44 ",Decline
Cybersecurity Analyst,Education,Medium,London,Data Analysis," $90,764.67 ",Decline
AI Researcher,Education,Large,San Francisco,Cybersecurity," $1,19,961.89 ",Growth
Cybersecurity Analyst,Energy,Medium,Berlin,UX/UI Design," $79,936.88 ",Decline
Sales Manager,Transportation,Medium,Tokyo,Sales," $97,622.96 ",Growth
Data Scientist,Telecommunications,Medium,Berlin,Machine Learning," $1,05,821.39 ",Stable
Cybersecurity Analyst,Telecommunications,Small,London,UX/UI Design," $1,19,794.99 ",Decline
Cybersecurity Analyst,Energy,Large,Dubai,UX/UI Design," $79,644.93 ",Stable
Operations Manager,Healthcare,Large,Paris,Python," $77,642.15 ",Stable
HR Manager,Entertainment,Medium,Berlin,Project Management," $68,764.38 ",Decline
Cybersecurity Analyst,Retail,Medium,San Francisco,Cybersecurity," $75,862.86 ",Growth
AI Researcher,Marketing,Medium,Dubai,Machine Learning," $71,211.88 ",Growth
AI Researcher,Retail,Small,London,Data Analysis," $71,374.65 ",Stable
AI Researcher,Telecommunications,Large,Paris,Sales," $103,952.47 ",Decline
AI Researcher,Transportation,Large,London,JavaScript," $89,252.52 ",Decline
UX Designer,Entertainment,Small,Dubai,Project Management," $89,145.92 ",Decline
Software Engineer,Finance,Small,Dubai,Project Management," $85,332.65 ",Decline
AI Researcher,Manufacturing,Medium,San Francisco,Marketing," $99,743.29 ",Decline
AI Researcher,Manufacturing,Small,Dubai,JavaScript," $104,107.30 ",Decline
UX Designer,Manufacturing,Large,New York,Project Management," $101,648.96 ",Growth
AI Researcher,Transportation,Small,Sydney,Python," $73,151.99 ",Growth
Software Engineer,Finance,Medium,Dubai,UX/UI Design," $56,076.42 ",Growth
UX Designer,Education,Medium,London,Cybersecurity," $102,825.01 ",Growth
AI Researcher,Education,Medium,Dubai,Cybersecurity," $119,961.89 ",Growth
AI Researcher,Technology,Medium,New York,Python," $85,901.52 ",Growth
Data Scientist,Technology,Medium,Singapore,UX/UI Design," $47,666.72 ",Growth
UX Designer,Retail,Small,Singapore,Cybersecurity," $87,252.92 ",Stable
Data Scientist,Telecommunications,Small,Tokyo,Data Analysis," $88,942.08 ",Decline
UX Designer,Finance,Small,Paris,Cybersecurity," $41,396.16 ",Decline
Data Scientist,Education,Small,Berlin,Project Management," $90,129.59 ",Growth
Cybersecurity Analyst,Telecommunications,Medium,Sydney,Data Analysis," $47,132.65 ",Growth
Data Scientist,Transportation,Medium,Toronto,Data Analysis," $119,717.37 ",Growth
Cybersecurity Analyst,Healthcare,Small,Tokyo,JavaScript," $135,566.66 ",Stable
Data Scientist,Education,Large,Paris,Data Analysis," $105,370.34 ",Stable
Software Engineer,Transportation,Large,Singapore,JavaScript," $81,160.64 ",Stable
Data Scientist,Education,Small,London,Marketing," $74,767.08 ",Stable
AI Researcher,Marketing,Small,Toronto,Data Analysis," $109,264.90 ",Decline
Cybersecurity Analyst,Marketing,Medium,Paris,Communication," $102,999.23 ",Decline
